model,num_host,num_vuln,topology,distro_vuln,diversity_vuln,generation_time
TVA,25,10,random,uniform,0,0.01836879993788898
TVA,25,10,mesh,uniform,0,0.02834900002926588
TVA,25,10,star,uniform,0,0.01551830000244081
TVA,25,10,random,uniform,1,0.06440829997882247
TVA,25,10,star,uniform,1,0.04917729995213449
TVA,25,10,ring,uniform,0,0.015993600012734532
TVA,25,10,tree,uniform,0,0.013737000059336424
TVA,25,10,mesh,uniform,1,0.11740730004385114
TVA,25,10,powerlaw,uniform,0,0.01580910012125969
TVA,25,10,ring,uniform,1,0.050770599860697985
TVA,25,10,tree,uniform,1,0.04533040011301637
TVA,25,10,lan0,uniform,0,0.016309600090608
TVA,25,10,lan25,uniform,0,0.020290100015699863
TVA,25,10,powerlaw,uniform,1,0.05609100009314716
TVA,25,10,lan50,uniform,0,0.017558799823746085
TVA,25,10,lan0,uniform,1,0.06410159985534847
TVA,25,10,lan25,uniform,1,0.06932450016029179
TVA,25,10,lan50,uniform,1,0.0690977000631392
TVA,25,25,mesh,uniform,0,0.058058799942955375
TVA,25,25,random,uniform,0,0.025797200156375766
TVA,25,25,star,uniform,0,0.03807709994725883
TVA,25,25,star,uniform,1,0.09804189996793866
TVA,25,25,ring,uniform,0,0.02899009990505874
TVA,25,25,random,uniform,1,0.19500649999827147
TVA,25,25,tree,uniform,0,0.02581369993276894
TVA,25,25,ring,uniform,1,0.10753550007939339
TVA,25,25,tree,uniform,1,0.09686569985933602
TVA,25,25,powerlaw,uniform,0,0.027293300023302436
TVA,25,25,lan0,uniform,0,0.033159099984914064
TVA,25,25,mesh,uniform,1,0.3940829001367092
TVA,25,25,lan25,uniform,0,0.03398189996369183
TVA,25,25,powerlaw,uniform,1,0.1638049001339823
TVA,25,25,lan50,uniform,0,0.03350899997167289
TVA,25,25,lan0,uniform,1,0.18952660006470978
TVA,25,25,lan25,uniform,1,0.19858939992263913
TVA,25,50,mesh,uniform,0,0.12243749992921948
TVA,25,25,lan50,uniform,1,0.20017820014618337
TVA,25,50,random,uniform,0,0.05650039995089173
TVA,25,50,star,uniform,0,0.027652999851852655
TVA,25,50,star,uniform,1,0.23316770000383258
TVA,25,50,ring,uniform,0,0.03273209999315441
TVA,25,50,random,uniform,1,0.49902880005538464
TVA,25,50,ring,uniform,1,0.20290819997899234
TVA,25,50,tree,uniform,0,0.02584509993903339
TVA,25,50,powerlaw,uniform,0,0.04827720019966364
TVA,25,50,tree,uniform,1,0.20966699998825788
TVA,25,50,lan0,uniform,0,0.0680268001742661
TVA,25,50,mesh,uniform,1,1.155316699994728
TVA,25,50,powerlaw,uniform,1,0.4553795999381691
TVA,25,50,lan25,uniform,0,0.09513500006869435
TVA,25,50,lan50,uniform,0,0.07080180011689663
TVA,25,50,lan0,uniform,1,0.5705234999768436
TVA,25,75,mesh,uniform,0,0.23007990000769496
TVA,25,50,lan25,uniform,1,0.6299304999411106
TVA,25,50,lan50,uniform,1,0.5399701001588255
TVA,25,75,random,uniform,0,0.08588899997994304
TVA,25,75,star,uniform,0,0.040149200009182096
TVA,25,75,star,uniform,1,0.31932249991223216
TVA,25,75,ring,uniform,0,0.0693662001285702
TVA,25,75,ring,uniform,1,0.32750410004518926
TVA,25,75,tree,uniform,0,0.03981169988401234
TVA,25,75,random,uniform,1,0.9314969999250025
TVA,25,75,powerlaw,uniform,0,0.0788179999217391
TVA,25,75,tree,uniform,1,0.3295082999393344
TVA,25,75,lan0,uniform,0,0.09864090010523796
TVA,25,75,powerlaw,uniform,1,0.9079816001467407
TVA,25,75,lan25,uniform,0,0.13394470000639558
TVA,25,75,mesh,uniform,1,2.475413100095466
TVA,25,75,lan0,uniform,1,1.096614500042051
TVA,25,75,lan50,uniform,0,0.1033076997846365
TVA,25,100,mesh,uniform,0,0.3084245000500232
TVA,25,75,lan25,uniform,1,1.1218902000691742
TVA,25,100,random,uniform,0,0.11407750006765127
TVA,25,75,lan50,uniform,1,1.0927011999301612
TVA,25,100,star,uniform,0,0.05706420005299151
TVA,25,100,star,uniform,1,0.5358580998145044
TVA,25,100,ring,uniform,0,0.06915720016695559
TVA,25,100,ring,uniform,1,0.4436735000927001
TVA,25,100,tree,uniform,0,0.05021140002645552
TVA,25,100,random,uniform,1,1.4670844001229852
TVA,25,100,powerlaw,uniform,0,0.10715899989008904
TVA,25,100,tree,uniform,1,0.5709875000175089
TVA,25,100,lan0,uniform,0,0.13947390019893646
TVA,25,100,powerlaw,uniform,1,1.6186264001298696
TVA,25,100,lan25,uniform,0,0.17430750001221895
TVA,25,100,mesh,uniform,1,4.371875499840826
TVA,25,100,lan0,uniform,1,1.9198572000022978
TVA,25,100,lan50,uniform,0,0.16535210004076362
TVA,25,150,mesh,uniform,0,0.5552500998601317
TVA,25,100,lan25,uniform,1,1.9963920000009239
TVA,25,150,random,uniform,0,0.18382560019381344
TVA,25,100,lan50,uniform,1,1.940134699922055
TVA,25,150,star,uniform,0,0.06767489993944764
TVA,25,150,star,uniform,1,1.0410577000584453
TVA,25,150,ring,uniform,0,0.08707040012814105
TVA,25,150,ring,uniform,1,0.9870756000746042
TVA,25,150,tree,uniform,0,0.0736049001570791
TVA,25,150,random,uniform,1,3.4507561000064015
TVA,25,150,powerlaw,uniform,0,0.19043980003334582
TVA,25,150,tree,uniform,1,1.1036424001213163
TVA,25,150,lan0,uniform,0,0.23662470001727343
TVA,25,150,powerlaw,uniform,1,4.649878599913791
TVA,25,150,lan25,uniform,0,0.2657272999640554
TVA,25,150,lan0,uniform,1,5.361076700035483
TVA,25,150,lan50,uniform,0,0.38166880002245307
TVA,25,150,mesh,uniform,1,12.288906400091946
TVA,25,200,mesh,uniform,0,0.9301126999780536
TVA,25,150,lan25,uniform,1,6.441975299967453
TVA,25,200,random,uniform,0,0.40195490000769496
TVA,25,150,lan50,uniform,1,5.752099100034684
TVA,25,200,star,uniform,0,0.15546120004728436
TVA,25,200,star,uniform,1,1.9212839000392705
TVA,25,200,ring,uniform,0,0.15883599990047514
TVA,25,200,ring,uniform,1,1.9015291000250727
TVA,25,200,tree,uniform,0,0.1252986998297274
TVA,25,200,tree,uniform,1,1.976152100134641
TVA,25,200,powerlaw,uniform,0,0.40229900018312037
TVA,25,200,random,uniform,1,8.631514099892229
TVA,25,200,lan0,uniform,0,0.40395530010573566
TVA,25,200,powerlaw,uniform,1,9.017200600123033
TVA,25,200,lan25,uniform,0,0.6022220000158995
TVA,25,200,lan0,uniform,1,9.251394799910486
TVA,25,200,lan50,uniform,0,0.4165431000292301
TVA,25,200,mesh,uniform,1,25.651729399804026
TVA,50,10,mesh,uniform,0,0.09665649989619851
TVA,50,10,mesh,uniform,1,0.685114499880001
TVA,50,10,random,uniform,0,0.03815379994921386
TVA,50,10,random,uniform,1,0.30160080012865365
TVA,50,10,star,uniform,0,0.024245900101959705
TVA,50,10,star,uniform,1,0.10568549996241927
TVA,50,10,ring,uniform,0,0.028805300127714872
TVA,50,10,ring,uniform,1,0.09407049999572337
TVA,50,10,tree,uniform,0,0.02254839986562729
TVA,50,10,tree,uniform,1,0.08552439999766648
TVA,50,10,powerlaw,uniform,0,0.036522099981084466
TVA,50,10,powerlaw,uniform,1,0.31568210013210773
TVA,50,10,lan0,uniform,0,0.04860560013912618
TVA,50,10,lan0,uniform,1,0.36452229996211827
TVA,50,10,lan25,uniform,0,0.06363380001857877
TVA,50,10,lan25,uniform,1,0.35380759998224676
TVA,50,10,lan50,uniform,0,0.045633300207555294
TVA,50,10,lan50,uniform,1,0.26651070010848343
TVA,50,25,mesh,uniform,0,0.28078469983302057
TVA,25,200,lan25,uniform,1,9.887590800179169
TVA,50,25,random,uniform,0,0.10752559988759458
TVA,50,25,random,uniform,1,1.0799800001550466
TVA,50,25,star,uniform,0,0.02318379981443286
TVA,50,25,star,uniform,1,0.2674546998459846
TVA,50,25,ring,uniform,0,0.041288299951702356
TVA,50,25,ring,uniform,1,0.24576239986345172
TVA,50,25,tree,uniform,0,0.025879699969664216
TVA,50,25,tree,uniform,1,0.2998436000198126
TVA,50,25,powerlaw,uniform,0,0.07367289997637272
TVA,25,200,lan50,uniform,1,9.784159200033173
TVA,50,25,lan0,uniform,0,0.14483279990963638
TVA,50,25,mesh,uniform,1,2.8731614998541772
TVA,50,25,lan25,uniform,0,0.14701849990524352
TVA,50,25,powerlaw,uniform,1,1.2165262000635266
TVA,50,25,lan50,uniform,0,0.17840730003081262
TVA,50,25,lan0,uniform,1,1.4621654998045415
TVA,50,25,lan25,uniform,1,1.4287527999840677
TVA,50,50,mesh,uniform,0,0.538569699972868
TVA,50,50,random,uniform,0,0.1623319999780506
TVA,50,25,lan50,uniform,1,1.303050500107929
TVA,50,50,star,uniform,0,0.053615299984812737
TVA,50,50,star,uniform,1,0.5264894999563694
TVA,50,50,ring,uniform,0,0.04880420002155006
TVA,50,50,ring,uniform,1,0.7106277998536825
TVA,50,50,tree,uniform,0,0.047591400099918246
TVA,50,50,tree,uniform,1,0.7957965999376029
